's	s'
annotate	annotated,annotates,annotating
annotation	annotations
annotator	annotators
announce	announces,announced,announcing
announcement	announcements
announcer	announcers
annoy	annoys,annoying,annoyed
annoyance	annoyances
annual	annuals
annualise	annualising,annualised,annualises
annuitant	annuitants
annuity	annuities
annul	annuls,annulling,annulled
annulment	annulments
annulus	annuli,annuluses
anode	anodes
anodise	anodises,anodised,anodising
anodize	anodizes,anodizing,anodized
anodyne	anodynes
anoint	anointing,anoints,anointed
anomaly	anomalies
anomie	anomies
anonymise	anonymised,anonymises,anonymising
anophthalmia	anophthalmias
anorak	anoraks
anorexia	anorexias
anorexic	anorexics
anoxia	anoxias
answer	answering,answered,answers
ant	ants
ant-eater	ant-eaters
ant-hill	ant-hills
antacid	antacids
antagonise	antagonises,antagonised,antagonising
antagonism	antagonisms
antagonist	antagonists
antagonize	antagonizes,antagonizing,antagonized
ante	antes,anted,anting
anteater	anteaters
antecedent	antecedents
antechamber	antechambers
antedate	antedating,antedates,antedated
antelope	antelopes
antenatal	antenatals
antenna	antennae,antennas
anteroom	anterooms
anthelmintic	anthelmintics
anthem	anthems
anther	anthers
anthocyanin	anthocyanins
anthology	anthologies
anthracnose	anthracnoses
anthracycline	anthracyclines
anthrax	anthraces
anthropoid	anthropoids
anthropologist	anthropologists
anthropology	anthropologies
anti	antis
anti-Semite	anti-Semites
anti-abortionist	anti-abortionists
anti-biotic	anti-biotics
anti-coagulant	anti-coagulants
anti-d	anti-ds
anti-depressant	anti-depressants
anti-emetic	anti-emetics
anti-freeze	anti-freezes
anti-fungal	anti-fungals
anti-hero	anti-heroes
anti-histamine	anti-histamines
anti-inflammatory	anti-inflammatories
anti-malarial	anti-malarials
anti-oxidant	anti-oxidants
anti-retroviral	anti-retrovirals
anti-virus	anti-viruses
antiarrhythmic	antiarrhythmics
antibacterial	antibacterials
antibiogram	antibiograms
antibiotic	antibiotics
antibody	antibodies
antic	antics
anticardiolipin	anticardiolipins
anticholinergic	anticholinergics
anticholinesterase	anticholinesterases
anticipate	anticipated,anticipating,anticipates
anticipation	anticipations
anticlimax	anticlimaxes
anticoagulant	anticoagulants
anticonvulsant	anticonvulsants
antics	anticses
anticyclone	anticyclones
antidepressant	antidepressants
antidote	antidotes
antiemetic	antiemetics
antifreeze	antifreezes
antifungal	antifungals
antigen	antigens
antihero	antiheroes
antihistamine	antihistamines
antihypertensive	antihypertensives
antimacassar	antimacassars
antimicrobial	antimicrobials
antinomy	antinomies
antioxidant	antioxidants
antipathy	antipathies
antiplatelet	antiplatelets
antipode	antipodes
antiproton	antiprotons
antipsychotic	antipsychotics
antiquarian	antiquarians
antiquary	antiquaries
antique	antiques
antiquity	antiquities
antiretroviral	antiretrovirals
antisense	antisenses
antiseptic	antiseptics
antiserum	antiserums,antisera
antithesis	antitheses
antitoxin	antitoxins
antitrypsin	antitrypsins
antiviral	antivirals
antivirus	antiviruses
antler	antlers
antonym	antonyms
anus	anuses,ani
anvil	anvils
anxiety	anxieties
aorta	aortas,aortae
apartheid	apartheids
apartment	apartments
apatite	apatites
ape	aping,aped,apes
aperitif	aperitifs
aperture	apertures
apex	apices,apexes
aphasia	aphasias
aphasic	aphasics
aphelion	aphelia
apheresis	aphereses
aphid	aphids
aphorism	aphorisms
aphrodisiac	aphrodisiacs
apiary	apiaries
apnea	apneas
apnoea	apnoeas
apocalypse	apocalypses
apogee	apogees
apolipoprotein	apolipoproteins
apologia	apologias,apologiae
apologise	apologised,apologises,apologising
apologist	apologists
apologize	apologizes,apologized,apologizing
apology	apologies
apoplexy	apoplexies
apoptosis	apoptoses
aporia	aporias
apostasy	apostasies
apostate	apostates
apostatize	apostatizes,apostatizing,apostatized
apostle	apostles
apostleship	apostleships
apostolate	apostolates
apostrophe	apostrophes
apothecary	apothecaries
apotheosis	apotheoses
app	apps
appal	appaling,appaled,appals,appalling,appalled
appall	appalling,appalls,appalled
apparatus	apparatuses,apparati
apparel	apparels
apparent	apparentest,apparenter
apparition	apparitions
appeal	appealed,appealing,appeals
appear	appearing,appeared,appears
appearance	appearances
appease	appeases,appeased,appeasing
appeasement	appeasements
appellant	appellants
appellation	appellations
append	appended,appends,appending
appendage	appendages
appendectomy	appendectomies
appendicectomy	appendicectomies
appendicitis	appendicitides
appendix	appendixes,appendices
appertain	appertains,appertained,appertaining
appetiser	appetisers
appetite	appetites
appetizer	appetizers
applaud	applauding,applauded,applauds
applause	applauses
apple	apples
applet	applets
appliance	appliances
applicability	applicabilities
applicant	applicants
application	applications
applicator	applicators
applique	appliques
apply	applies,applying,applied
appoint	appointing,appoints,appointed
appointee	appointees
appointment	appointments
apportion	apportioned,apportioning,apportions
apportionment	apportionments
appose	apposed,apposes,apposing
apposition	appositions
appraisal	appraisals
appraise	appraised,appraises,appraising
appraisee	appraisees
appraiser	appraisers
appreciate	appreciating,appreciated,appreciates
appreciation	appreciations
apprehend	apprehending,apprehends,apprehended
apprehension	apprehensions
apprentice	apprenticed,apprenticing,apprentices
apprenticeship	apprenticeships
apprise	apprises,apprising,apprised
approach	approached,approaching,approaches
appropriate	appropriates,appropriated,appropriating
appropriation	appropriations
approval	approvals
approve	approving,approved,approves
approximate	approximated,approximating,approximates
approximation	approximations
appurtenance	appurtenances
apricot	apricots
apron	aprons
apt	apter,aptest
aptitude	aptitudes
aqua	aquae,aquas
aquaculture	aquacultures
aqualung	aqualungs
aquamarine	aquamarines
aquaplane	aquaplaning,aquaplaned,aquaplanes
aquarist	aquarists
aquarium	aquariums,aquaria
aquatic	aquatics
aquatint	aquatints
aqueduct	aqueducts
aquifer	aquifers
ara	aras
arabesque	arabesques
arachnid	arachnids
aragonite	aragonites
aramid	aramids
arbiter	arbiters
arbitrate	arbitrates,arbitrating,arbitrated
arbitration	arbitrations
arbitrator	arbitrators
arbor	arbors
arboretum	arboretums,arboreta
arboriculture	arboricultures
arbour	arbours
arc	arcking,arced,arcs,arcing,arcked
arcade	arcades
arcanum	arcana
arch	archer,arches,arched,arching,archs,archest
arch-enemy	arch-enemies
archaeologist	archaeologists
archaeology	archaeologies
archaeum	archaea
archaism	archaisms
archangel	archangels
archbishop	archbishops
archbishopric	archbishoprics
archdeacon	archdeacons
archdiocese	archdioceses
archeologist	archeologists
archeology	archeologies
archer	archers
archetype	archetypes
archipelago	archipelagoes,archipelagos
architect	architects
architecture	architectures
architrave	architraves
archive	archives,archiving,archived
archivist	archivists
archway	archways
arctangent	arctangents
ardor	ardors
ardour	ardours
area	areas,areae
arena	arenas
arginine	arginines
argot	argots
argue	argues,arguing,argued
argument	arguments
argumentation	argumentations
argus	arguses
aria	arias
arise	arisen,arose,arising,arises
aristocracy	aristocracies
aristocrat	aristocrats
arithmetic	arithmetics
ark	arks
arm	arms,arming,armed
arm-chair	arm-chairs
armada	armadas
armadillo	armadilloes,armadillos
armament	armaments
armature	armatures
armband	armbands
armchair	armchairs
armful	armfuls,armsful
armhole	armholes
armistice	armistices
armory	armories
armourer	armourers
armoury	armouries
armpit	armpits
armrest	armrests
army	armies
aroma	aromas
aromatase	aromatases
aromatherapist	aromatherapists
aromatherapy	aromatherapies
aromatic	aromatics
aromaticity	aromaticities
arousal	arousals
arouse	arouses,arousing,aroused
arpeggio	arpeggios
arraign	arraigning,arraigned,arraigns
arraignment	arraignments
arrange	arranging,arranges,arranged
arrangement	arrangements
arranger	arrangers
array	arrays,arraying,arrayed
arrest	arrests,arresting,arrested
arrestee	arrestees
arrestor	arrestors
arrhythmia	arrhythmias
arrival	arrivals
arrive	arrives,arrived,arriving
arrogate	arrogates,arrogated,arrogating
arrondissement	arrondissements
arrow	arrows
arrowhead	arrowheads
arse	arsed,arsing,arses
arsehole	arseholes
arsenal	arsenals
arsenic	arsenics
arsenide	arsenides
arsis	arses
arson	arsons
arsonist	arsonists
art	arts
artefact	artefacts
artemisinin	artemisinins
arteriole	arterioles
arteriosclerosis	arterioscleroses
arteritis	arteritides
artery	arteries
artform	artforms
arthralgia	arthralgias
arthritic	arthritics
arthritis	arthritises,arthritides
arthrodesis	arthrodeses
arthropathy	arthropathies
arthroplasty	arthroplasties
arthropod	arthropods
arthroscopy	arthroscopies
artichoke	artichokes
article	articling,articled,articles
articulate	articulates,articulating,articulated
articulation	articulations
articulator	articulators
artifact	artifacts
artifice	artifices
artificer	artificers
artillery	artilleries
artilleryman	artillerymen
artisan	artisans
artist	artists
artiste	artistes
artwork	artworks
arum	arums
aryl	aryls
asbestosis	asbestoses
ascend	ascending,ascends,ascended
ascendant	ascendants
ascent	ascents
ascertain	ascertains,ascertained,ascertaining
ascertainment	ascertainments
ascetic	ascetics
asceticism	asceticisms
ascidian	ascidians
ascospore	ascospores
ascribe	ascribes,ascribed,ascribing
ascription	ascriptions
ascus	asci
ash	ashes
ashcan	ashcans
ashtray	ashtrays
aside	asides
ask	asked,asks,asking
asp	asps
aspartame	aspartames
aspartate	aspartates
aspect	aspects
aspen	aspens
asperger	aspergers
asperity	asperities
aspersion	aspersions
asphalt	asphalts,asphalting,asphalted
asphodel	asphodels
asphyxia	asphyxias
asphyxiate	asphyxiating,asphyxiates,asphyxiated
asphyxiation	asphyxiations
aspirant	aspirants
aspirate	aspirated,aspirating,aspirates
aspiration	aspirations
aspire	aspires,aspired,aspiring
aspirin	aspirins
ass	asses
assail	assails,assailed,assailing
assailant	assailants
assassin	assassins
assassinate	assassinated,assassinating,assassinates
assassination	assassinations
assault	assaulted,assaults,assaulting
assay	assayed,assays,assaying
asse	asses
assemblage	assemblages
assemble	assembled,assembling,assembles
assembler	assemblers
assembly	assemblies
assent	assenting,assented,assents
assert	asserting,asserted,asserts
assertion	assertions
assess	assesses,assessing,assessed
assessment	assessments
assessor	assessors
asset	assets
assiduity	assiduities
assign	assigns,assigned,assigning
assignation	assignations
assignee	assignees
assignment	assignments
assignor	assignors
assimilate	assimilating,assimilates,assimilated
assimilation	assimilations
assist	assisting,assists,assisted
assistant	assistants
assize	assizes
associate	associating,associates,associated
associateship	associateships
association	associations
associativity	associativities
assonance	assonances
assortment	assortments
assuage	assuages,assuaging,assuaged
assume	assuming,assumed,assumes
assumption	assumptions
assurance	assurances
assure	assures,assuring,assured
aster	asters
asterisk	asterisking,asterisks,asterisked
asteroid	asteroids
asthenia	asthenias
asthma	asthmas
asthmatic	asthmatics
astigmatism	astigmatisms
astonish	astonished,astonishing,astonishes
astonishment	astonishments
astound	astounds,astounded,astounding
astringent	astringents
astrocyte	astrocytes
astrocytoma	astrocytomata,astrocytomas
astrologer	astrologers
astronaut	astronauts
astronomer	astronomers
astrophysicist	astrophysicists
asylum	asylums
asymmetry	asymmetries
asymptote	asymptotes
asymptotic	asymptotics
ataxia	ataxias
atheist	atheists
atheroma	atheromata,atheromas
atherosclerosis	atheroscleroses
athlete	athletes
athletic	athletics
atla	atlas
atlas	atlases
atmosphere	atmospheres
atoll	atolls
atom	atoms
atomise	atomised,atomises,atomising
atomiser	atomisers
atomize	atomizing,atomizes,atomized
atomizer	atomizers
atone	atoned,atones,atoning
atopy	atopies
atresia	atresias
atrium	atria,atriums
atrocity	atrocities
atrophy	atrophying,atrophied,atrophies
att	atts
attach	attached,attaching,attaches
attache	attaches
attachment	attachments
attaché	attachés
attack	attacked,attacks,attacking
attacker	attackers
attain	attains,attained,attaining
attainment	attainments
attaint	attainting,attaints,attainted
attempt	attempts,attempted,attempting
attend	attended,attending,attends
attendance	attendances
attendant	attendants
attendee	attendees
attender	attenders
attention	attentions
attenuate	attenuated,attenuates,attenuating
attenuation	attenuations
attenuator	attenuators
attest	attested,attesting,attests
attestation	attestations
attic	attics
attire	attired,attires,attiring
attitude	attitudes
attorney	attorneys
attract	attracts,attracted,attracting
attractant	attractants
attraction	attractions
attractor	attractors
attribute	attributing,attributes,attributed
attribution	attributions
attune	attunes,attuning,attuned
aubergine	aubergines
auction	auctioned,auctions,auctioning
auctioneer	auctioneers
audacity	audacities
audience	audiences
audio-typist	audio-typists
audiocassette	audiocassettes
audiogram	audiograms
audiologist	audiologists
audiology	audiologies
audiometry	audiometries
audiotape	audiotapes
audit	auditing,audited,audits
audition	auditions,auditioned,auditioning
auditor	auditors
auditorium	auditoriums,auditoria
auger	augers
augment	augments,augmenting,augmented
augmentation	augmentations
augur	augurs,augured,auguring
augury	auguries
auk	auks
aunt	aunts
auntie	aunties
aunty	aunties
aura	aurae,auras
aureole	aureoles
aureus	aurei
auroch	aurochs
aurora	aurorae,auroras
auscultation	auscultations
auspice	auspices
austere	austerest,austerer
austerity	austerities
autarchy	autarchies
authenticate	authenticated,authenticates,authenticating
author	authors,authoring,authored
authoress	authoresses
authorisation	authorisations
authorise	authorising,authorises,authorised
authoritarian	authoritarians
authoritarianism	authoritarianisms
authority	authorities
authorization	authorizations
authorize	authorizes,authorizing,authorized
authorship	authorships
autism	autisms
auto	autos
autoantibody	autoantibodies
autobahn	autobahns
autobiography	autobiographies
autoclave	autoclaving,autoclaves,autoclaved
autocorrelation	autocorrelations
autocracy	autocracies
autocrat	autocrats
autocue	autocues
autograft	autografts
autograph	autographs,autographed,autographing
autoimmunity	autoimmunities
automaker	automakers
automat	automats
automate	automated,automates,automating
automatic	automatics
automaticity	automaticities
automation	automations
automatism	automatisms
automaton	automata,automatons
automobile	automobiles
automorphism	automorphisms
autonomist	autonomists
autonomy	autonomies
autopoiesis	autopoieses
autopsy	autopsies
autumn	autumns
auxiliary	auxiliaries
auxin	auxins
av	avs
avail	avails,availed,availing
availability	availabilities
avalanche	avalanching,avalanches,avalanched
avant-garde	avant-gardes
avatar	avatars
aven	avens
avenge	avenges,avenged,avenging
avenger	avengers
avenue	avenues
aver	averred,avers,averring
average	averaged,averaging,averages
aversion	aversions
avert	averted,averting,averts
aviary	aviaries
aviator	aviators
avidity	avidities
avifauna	avifaunas
avocado	avocados,avocadoes
avocation	avocations
avocet	avocets
avoid	avoids,avoiding,avoided
avoidance	avoidances
avoider	avoiders
avow	avowed,avows,avowing
avowal	avowals
avulsion	avulsions
aw	aws
await	awaited,awaiting,awaits
awake	awakes,awoken,awaking,awoke
awaken	awakened,awakens,awakening
awakening	awakenings
award	awarded,awarding,awards
awardee	awardees
awareness	awarenesses
awe	awes,awing,awed,aweing
awful	awfullest,awfuller
awkward	awkwardest,awkwarder
awkwardness	awkwardnesses
awl	awls
awn	awns
awning	awnings
ax	axing,axes,axed
axe	axing,axes,axed
axil	axils
axilla	axillas,axillae
axiom	axioms
axis	axes,axises
axle	axles
axon	axons
ayahuasca	ayahuascas
aye	ayes
azalea	azaleas
azimuth	azimuths
azure	azures
b	bs
baa	baas
babble	babbles,babbling,babbled
babbler	babblers
babe	babes
baboon	baboons
baby	babies
baby-boomer	baby-boomers
baby-minder	baby-minders
baby-sit	baby-sits,baby-sat,baby-sitting,baby-sitted
baby-sitter	baby-sitters
babyhood	babyhoods
babysitter	babysitters
baccalaureate	baccalaureates
bachelor	bachelors
bacillus	bacilli
back	backing,backs,backed
back-cloth	back-cloths
back-comb	back-combed,back-combing,back-combs
back-drop	back-drops
back-pack	back-packs
back-pedal	back-pedalled,back-pedalling,back-pedals
back-up	back-ups
backache	backaches
backbench	backbenches
backbencher	backbenchers
backbite	backbites,backbitten,backbit,backbiting
backboard	backboards
backbone	backbones
backcloth	backcloths
backdate	backdated,backdates,backdating
backdrop	backdrops
backer	backers
backfill	backfilling,backfills,backfilled
backfire	backfires,backfired,backfiring
backflow	backflows
backgammon	backgammons
background	backgrounds
backgrounder	backgrounders
backhand	backhands
backhander	backhanders
backhoe	backhoes
backing	backings
backlash	backlashes
backlight	backlighted,backlit,backlights,backlighting
backlog	backlogs
backpack	backpacks
backpacker	backpackers
backrest	backrests
backroom	backrooms
backseat	backseats
backside	backsides
backslide	backslides,backslidden,backslid,backsliding
backslider	backsliders
backspace	backspaces
backstabbing	backstabbings
backstroke	backstrokes
backtrack	backtracked,backtracking,backtracks
backup	backups
backwash	backwashes
backwater	backwaters
backyard	backyards
bacon	bacons
bacteraemia	bacteraemias
bacteria	bacterias
bacteriologist	bacteriologists
bacteriology	bacteriologies
bacteriophage	bacteriophages
bacterium	bacteria
bacteriuria	bacteriurias
baculovirus	baculoviruses
bad	worse,worst
